"Name","Team","AB","H","HR","RBI","BB","SO","AVG","OPS","WAR","SB","playerid"
"Brian Dallimore","Giants","43","12","1","7","4","7",".279",".742","0.3","0","1920"
"Randy Wolf","Phillies","45","12","3","8","1","10",".267",".788","0.7","0","976"
"Vance Wilson","Mets","157","43","4","21","11","24",".274",".762","0.8","1","903"
"Chad Tracy","Diamondbacks","481","137","8","53","45","60",".285",".750","1.6","2","1888"
"Damian Miller","Athletics","397","108","9","58","39","87",".272",".742","1.7","0","65"
"Omar Infante","Tigers","503","133","16","55","40","112",".264",".766","1.9","13","1609"
"So Taguchi","Cardinals","179","52","3","25","12","23",".291",".756","0.6","6","1186"
"John Olerud","- - -","425","110","9","48","61","61",".259",".733","0.7","0","1093"
"Luis Castillo","Marlins","564","164","2","47","75","68",".291",".720","3.2","21","513"
"Hiram Bocachica","Mariners","90","22","3","6","12","27",".244",".737","0.4","5","1404"
"Juan Cruz","Braves","5","1","0","0","1","3",".200",".733","0.1","0","273"
"Kenny Lofton","Yankees","276","76","3","18","31","27",".275",".741","0.3","7","246"
"Brian Daubach","Red Sox","75","17","2","8","10","21",".227",".739","-0.1","0","186"
"Grady Sizemore","Indians","138","34","4","24","14","34",".246",".739","1.0","2","2197"
"Shane Spencer","Mets","185","52","4","26","13","37",".281",".742","0.9","6","848"
"Austin Kearns","Reds","217","50","9","32","28","71",".230",".740","0.2","2","332"
"Tony Womack","Cardinals","553","170","5","38","36","60",".307",".735","2.8","26","78"
"Ty Wigginton","- - -","494","129","17","66","45","82",".261",".757","0.8","7","1491"
"Royce Clayton","Rockies","574","160","8","54","48","125",".279",".735","1.2","10","226"
"Matthew LeCroy","Twins","264","71","9","39","16","60",".269",".745","-0.2","0","1456"
"Miguel Ojeda","Padres","156","40","8","26","15","34",".256",".751","0.8","0","1712"
"Ricky Ledee","- - -","176","41","7","30","27","47",".233",".740","0.8","3","1407"
"Bobby Crosby","Athletics","545","130","22","64","58","141",".239",".744","2.6","7","1818"
"Todd Pratt","Phillies","128","33","3","16","18","38",".258",".719","0.2","0","968"
"Brad Fullmer","Rangers","258","60","11","33","27","30",".233",".752","-0.4","1","13"
"Morgan Ensberg","Astros","411","113","10","66","36","46",".275",".742","0.5","6","556"
"Jason Giambi","Yankees","264","55","12","40","47","62",".208",".720","0.0","0","818"
"Julio Lugo","Devil Rays","581","160","7","75","54","106",".275",".734","3.7","21","565"
"Jody Gerut","Indians","481","121","11","51","54","59",".252",".739","0.7","13","1696"
"Terrence Long","Padres","288","85","3","28","19","51",".295",".756","0.8","3","927"
"Josh Phelps","- - -","371","93","17","61","22","93",".251",".754","-0.4","0","1318"
